[60, 8, 32]
[70, 10, 20]
[8, 51, 41]
[10, 60, 30]
[4, 62, 34]
[11, 58, 31]
[7, 62, 31]
[9, 62, 29]
[7, 68, 25]
[1, 77, 22]
[5, 67, 28]
[3, 74, 23]
[6, 72, 22]
[5, 78, 17]
[5, 78, 17]
[7, 79, 14]
[3, 70, 27]
[3, 77, 20]
[6, 76, 18]
[5, 72, 23]
[5, 77, 18]
[6, 77, 17]
[6, 69, 25]
[5, 73, 22]
[4, 73, 23]
[7, 68, 25]
[8, 79, 13]
[4, 71, 25]
[5, 72, 23]
[4, 78, 18]
[6, 67, 27]
[5, 72, 23]
[5, 73, 22]
[4, 77, 19]
[3, 81, 16]
[3, 78, 19]
[8, 76, 16]
[3, 78, 19]
[3, 78, 19]
[2, 77, 21]
[3, 79, 18]
[5, 71, 24]
[2, 76, 22]
[2, 82, 16]
[5, 77, 18]
[5, 80, 15]
[5, 79, 16]
[4, 76, 20]
[1, 77, 22]
[9, 70, 21]
[6, 77, 17]
[8, 67, 25]
[4, 85, 11]
[5, 76, 19]
[8, 73, 19]
[5, 84, 11]
[6, 76, 18]
[5, 75, 20]
[3, 79, 18]
[4, 79, 17]
[3, 77, 20]
[5, 72, 23]
[3, 82, 15]
[5, 78, 17]
[3, 78, 19]
[6, 73, 21]
[2, 78, 20]
[4, 80, 16]
[2, 79, 19]
[3, 76, 21]
[4, 79, 17]
[6, 71, 23]
[2, 79, 19]
[0, 80, 20]
[3, 87, 10]
[2, 76, 22]
[3, 76, 21]
[3, 82, 15]
[1, 83, 16]
[4, 77, 19]
[3, 77, 20]
[4, 79, 17]
[4, 79, 17]
[1, 77, 22]
[4, 80, 16]
[2, 76, 22]
[1, 81, 18]
[1, 82, 17]
[2, 85, 13]
[4, 72, 24]
[0, 83, 17]
[2, 75, 23]
[4, 79, 17]
[2, 82, 16]
[6, 78, 16]
[4, 85, 11]
[4, 81, 15]
[3, 82, 15]
[5, 85, 10]
[7, 76, 17]
[3, 73, 24]
[3, 77, 20]
[6, 76, 18]
[2, 84, 14]
[7, 78, 15]
[9, 73, 18]
[2, 85, 13]
[2, 78, 20]
[2, 80, 18]
[5, 72, 23]
[2, 81, 17]
[3, 77, 20]
[4, 83, 13]
[3, 78, 19]
[7, 77, 16]
[4, 70, 26]
[4, 74, 22]
[2, 74, 24]
[4, 77, 19]
[1, 78, 21]
[1, 79, 20]
[4, 77, 19]
[3, 84, 13]
[3, 78, 19]
[5, 82, 13]
[2, 85, 13]
[4, 85, 11]
[6, 76, 18]
[2, 73, 25]
[4, 84, 12]
[5, 79, 16]
[2, 78, 20]
[6, 79, 15]
[3, 78, 19]
[5, 78, 17]
[2, 87, 11]
[3, 80, 17]
[4, 76, 20]
[2, 80, 18]
[2, 79, 19]
[4, 71, 25]
[6, 82, 12]
[6, 76, 18]
[6, 68, 26]
[4, 77, 19]
[4, 78, 18]
[3, 84, 13]
[3, 78, 19]
[3, 78, 19]
[2, 79, 19]
[1, 82, 17]
[2, 80, 18]
[6, 73, 21]
[5, 72, 23]
[4, 78, 18]
[7, 73, 20]
[4, 81, 15]
[4, 74, 22]
[6, 74, 20]
[3, 73, 24]
[2, 86, 12]
[3, 83, 14]
[4, 81, 15]
[8, 75, 17]
[6, 76, 18]
[5, 81, 14]
[3, 78, 19]
[3, 80, 17]
[5, 73, 22]
[5, 78, 17]
[7, 74, 19]
[5, 81, 14]
[3, 78, 19]
[2, 79, 19]
[6, 79, 15]
[4, 79, 17]
[6, 75, 19]
[6, 76, 18]
[4, 80, 16]
[3, 82, 15]
[5, 72, 23]
[2, 79, 19]
[1, 84, 15]
[3, 86, 11]
[4, 81, 15]
[4, 83, 13]
[5, 83, 12]
[1, 80, 19]
[3, 80, 17]
[4, 71, 25]
[3, 78, 19]
[4, 80, 16]
[2, 82, 16]
[0, 79, 21]
[3, 81, 16]
[1, 80, 19]
[8, 79, 13]
[3, 77, 20]
[8, 68, 24]
[4, 87, 9]
[1, 83, 16]
[3, 81, 16]
[6, 80, 14]
[3, 87, 10]
[1, 83, 16]
[3, 81, 16]
[6, 74, 20]
[4, 78, 18]
[5, 74, 21]
[2, 84, 14]
